radius_bin,insol_bin,st_Teff_bin,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,V mag,K_amp,TSM,t_HIRES,X,TSM_Vmag_priority,X_priority,toi,tic,cps,disp,vetting,ao_vet,hires_prv,apf_prv,vip_rank,pick_num,in_SC1A,in_SC1B,in_SC1C,in_SC1D,in_SC1E,in_SC2A,in_SC2Bi,in_SC2Bii,in_SC2C,in_SC3,in_SC4,in_TOA,in_TOB,total_programs
1,2,1,455.01,1.368307,5.358807,3562.0,7.379878999999999,420.370338,10.59,2.2452084364494644,43.269585094700396,4148.751314214001,0.010429544173075605,,2.0,455.01,98796344,GJ3193,VP,passed,passed,yes,no,2.0,5,X,X,-,X,X,-,X,X,-,X,-,-,X,8
1,3,1,1468.02,1.452351,1.880305,3382.0,35.733782,623.576148,12.5,2.7970711069607317,14.536521955808006,15524.717980890942,0.0009363469258314844,,,1468.02,243185500,T001468,VPC,passed,,yes,,,19,X,-,-,X,-,-,-,-,X,X,-,-,-,4
2,2,1,1468.01,2.333273,15.531925,3382.0,2.140013,308.477758,12.5,3.0978300659318787,88.32302789250916,12656.556228030777,0.0069784407623377075,,2.0,1468.01,243185500,T001468,VPC,passed,,yes,,,19,X,-,-,X,-,-,-,-,X,X,-,-,-,4
1,3,1,1730.02,1.440684,2.155669,3691.0,67.449404,730.91063,12.23,2.0261547027468843,9.243456248826446,23072.015244600363,0.00040063497491792495,,,1730.02,318022259,HIP34730,PC,passed,passed,,,,42,X,-,-,-,-,-,-,-,X,X,-,-,-,3
2,3,1,1730.01,2.299128,6.222236,3691.0,16.411904,513.345186,12.23,3.1499837312049754,79.04770689801602,9545.839153615132,0.008280854687152322,1.0,1.0,1730.01,318022259,HIP34730,PC,passed,passed,,,,42,X,-,-,-,-,-,-,-,X,X,-,-,-,3
1,5,3,561.02,1.55421,0.446547,5391.0,4628.630447,2103.695493,10.252,2.661764324724172,78.27658645688915,2162.178446969018,0.036202648567984184,1.0,1.0,561.02,377064495,T000561,CPC,passed,passed,yes,yes,,25,X,X,X,-,X,X,X,X,X,X,-,-,X,10
3,3,3,561.01,3.772776,10.781327,5391.0,66.330454,727.860233,10.252,4.159027891252227,87.14310034642384,885.6192913587957,0.09839792470274802,,,561.01,377064495,T000561,PC,passed,passed,yes,yes,,25,X,X,X,-,X,X,X,X,X,X,-,-,X,10
3,3,3,561.03,2.842121,16.37165,5391.0,38.003128,633.249107,10.252,2.2355636769673803,52.460883670852816,3065.184667726023,0.017115080935652758,,,561.03,377064495,T000561,PC,passed,passed,yes,yes,,25,X,X,X,-,X,X,X,X,X,X,-,-,X,10
2,3,2,1430.01,2.229178,7.434007000000001,5064.0,72.54644,744.344144,9.19,2.053197743979493,97.36625675264416,1366.372702485418,0.07125892999438288,2.0,2.0,1430.01,293954617,235088,PC,passed,passed,,yes,,49,-,X,-,-,X,-,X,X,-,X,-,-,X,6
2,4,2,1416.01,1.659544,1.06969,4946.0,945.862003,1414.414482,9.91,2.4500815389146084,90.57711954538478,1862.3858269055168,0.0486349918673323,2.0,,1416.01,158025009,HIP70705,CPC,passed,passed,wait,wait,,29,X,X,X,-,X,-,X,X,-,X,-,-,X,8
2,4,3,1473.01,2.49336,5.255294,5958.0,299.625751,1061.120081,8.844,2.3622450732321285,97.25843389213215,750.5520752014344,0.12958252612389326,3.0,3.0,1473.01,352413427,6061,PC,passed,,yes,yes,,2,-,X,-,-,X,-,X,X,-,X,-,-,X,6
2,4,3,1727.01,2.27447,1.832792,5566.0,989.31202,1430.385408,10.312,3.0774535420668814,61.93622203532711,1709.4158360598044,0.03623239046275002,,,1727.01,241225337,T001727,PC,passed,,,,,43,-,X,X,-,X,X,X,X,-,X,-,-,X,8
2,5,2,1436.01,1.717836,0.867492,5011.22,1118.225214,1474.864321,12.005999999999998,2.736771759604733,45.03015583975757,10288.53582874965,0.004376731207362672,2.0,3.0,1436.01,154383539,T001436,CPC,passed,passed,yes,no,,70,X,-,X,-,-,-,-,-,-,X,-,-,-,3
3,2,2,1759.01,3.234794,37.696127,3960.0,2.486239,320.262031,11.93,2.808929775974565,64.30049248381304,9106.44712195739,0.007060985653644464,3.0,2.0,1759.01,408636441,T001759,PC,do observe,,,,,9,-,X,-,X,-,-,-,-,-,X,-,-,X,4
3,3,2,1255.01,2.70278,10.288882,5126.0,59.759255,709.1221360000002,9.92,2.5364620780108034,69.48519865584359,1753.7754504909801,0.039620350847305336,,3.0,1255.01,237222864,HIP97166,PC,do observe,passed,,,,68,-,X,-,-,X,-,X,X,-,X,-,-,X,6
3,3,3,1339.01,3.247601,8.880832,5555.7,99.065848,804.638372,8.97,3.3949564515625337,131.53851943188124,408.0959814550437,0.3223225060018673,2.0,1.0,1339.01,269701147,191939,CPC-,passed,passed,yes,yes,4.0,16,X,X,-,-,X,-,X,X,X,X,-,-,X,8
3,3,3,1339.02,3.067978,28.579356,5555.7,20.850938,545.005831,8.97,2.087501950589936,82.74272156854299,1079.38643019823,0.07665718157430162,,,1339.02,269701147,191939,PC,passed,passed,yes,yes,4.0,16,X,X,-,-,X,-,X,X,X,X,-,-,X,8
3,3,3,469.01,3.685246,13.632935,6114.0,89.071512,783.527882,9.49,3.2168213987490173,104.23987215042015,733.7985270428004,0.14205516679149746,3.0,3.0,469.01,33692729,42813,VPC,passed,passed,yes,no - too low dec,,66,-,-,-,-,X,-,X,X,-,X,-,-,X,5
3,3,3,509.01,3.073257,18.119809,5560.26,46.819522,667.154613,8.58,2.3748692646630563,97.5420206565374,582.3060736685983,0.1675098802284698,1.0,2.0,509.01,453211454,63935,PC,passed,passed,yes,yes,1.0,7,-,X,-,-,X,-,X,X,-,X,-,-,X,6
3,3,3,1247.01,2.800653,15.923849,5711.85,70.932692,740.169798,9.08,2.079049330412356,63.34823975891325,1204.2069949436518,0.05260577294842693,,,1247.01,232540264,135694,PC,passed,,yes,yes,,93,-,-,-,-,X,-,X,-,-,X,-,-,X,4
3,3,3,1691.01,3.746702,16.731638,5759.0,59.35005200000001,707.905076,10.134,3.3301104840987588,62.196824316918935,1239.12023439457,0.050194341590514086,,,1691.01,268334473,T001691,CPC,passed,,,,,18,-,-,-,-,-,X,X,-,-,X,-,-,X,4
3,3,3,1723.01,3.1569700000000003,13.716057,5777.0,91.580168,788.987475,9.664,2.652551656471938,58.42112442501675,1266.7853534058165,0.04611761911198973,,,1723.01,71431780,T001723,PC,passed,,,yes,,96,-,-,-,-,-,-,-,-,-,X,-,-,X,2
3,4,2,1410.01,2.943638,1.216835,4634.6,565.541505,1243.757952,11.111,6.75278060584253,117.90818926749516,741.0806161561648,0.1591030539687586,1.0,2.0,1410.01,199444169,T001410,VPC,passed,passed,yes,,,47,-,X,-,-,X,X,X,X,-,X,-,-,X,7
3,4,3,554.01,3.411592,7.048602000000002,6337.87,416.682397,1152.31453,6.911339999999999,1.733525460205819,107.53478417053556,235.02079166015238,0.4575543440685636,2.0,2.0,554.01,407966340,25463,CPC,passed,passed,yes,yes,,46,-,X,-,-,X,-,X,X,-,X,-,-,X,6
3,4,3,1136.02,3.00227,6.256742,5729.0,210.125477,971.045159,9.534,3.1762260361718453,87.25756807056338,783.8048220731912,0.11132563313372333,3.0,,1136.02,142276270,T001136,CPC,passed,passed,yes,yes,3.0,10,-,X,-,-,X,-,X,X,X,X,-,-,X,7
4,3,3,1136.01,4.55992,12.518414,5729.0,83.344567,770.617866,9.534,5.129484922258287,107.11501202139542,300.5268080675061,0.35642414967963393,2.0,1.0,1136.01,142276270,T001136,CPC,passed,passed,yes,yes,3.0,10,-,X,-,-,X,-,X,X,X,X,-,-,X,7
4,3,3,1136.03,4.0373269999999986,26.321864,5729.0,30.940040000000003,601.519853,9.534,3.2554950701855687,71.37382048505343,746.0993296480425,0.09566262513427347,,,1136.03,142276270,T001136,PC,passed,passed,yes,yes,3.0,10,-,X,-,-,X,-,X,X,X,X,-,-,X,7
3,4,3,1736.01,3.702256,7.0741520000000016,5656.0,349.144817,1102.481091,8.953,4.437209045165409,86.14251492692374,235.18572318563025,0.3662744224441385,,3.0,1736.01,408618999,T001736,PC,do observe,,,,,30,-,X,-,-,X,-,X,X,-,X,X,-,X,7
3,4,3,669.01,3.842242,3.948678,5581.9,641.234094,1283.435066,10.606,7.619698469818915,66.39005324059086,365.55704892041433,0.18161338548020906,,,669.01,124573851,T000669,PC,passed,passed,yes,yes,,84,-,-,-,-,-,-,-,-,-,X,-,-,-,1
3,4,3,1778.01,2.829971,6.515951,6023.0,414.067919,1150.502709,8.99,2.678129099478872,64.38338267635993,667.9865485865325,0.0963842502706019,,,1778.01,39699648,77946,PC,do observe,,,,,78,-,X,-,-,X,-,X,X,-,X,-,-,X,6
3,4,3,1716.01,2.741667,8.088417,5878.6,251.439553,1015.61276,9.406,2.4491829800738083,52.709397636511405,1171.624024172211,0.0449883209536884,,,1716.01,14336130,237566,PC,passed,,,yes,,98,-,-,-,-,-,-,-,-,-,X,-,-,-,1
3,5,3,1681.01,3.26185,1.537559,5672.5,1160.699357,1488.674282,10.97,5.910641208777344,86.45972528851028,849.4963929416663,0.1017776249633203,3.0,3.0,1681.01,321041369,T001681,PC,passed,passed,,,,67,-,X,X,-,-,X,X,-,-,X,-,-,X,6
4,3,2,1728.01,4.699432,3.491567,3907.0,57.019625,700.851229,12.39,11.653890178496894,134.9152248876591,808.1442579663556,0.16694448244570198,2.0,2.0,1728.01,285048486,T001728,VPC+,passed,,,,5.0,20,-,-,-,-,-,-,-,-,-,X,-,-,-,1
4,3,3,1471.01,4.282738,20.772024,5625.56,81.617867,766.595136,9.2,3.9692172845493903,102.62148825873504,368.99542881387055,0.2781104594943359,1.0,3.0,1471.01,306263608,12572,PC,passed,,yes,yes,,65,-,X,-,-,X,-,X,X,-,X,-,-,X,6
4,3,3,1744.01,4.333054,22.342014,6179.0,62.906016,718.27838,9.543,3.536877207753732,65.54003035468405,637.3687540698406,0.10282906078496344,,,1744.01,229455001,T001744,PC,do observe,,,,,88,-,-,-,-,X,-,X,X,-,X,-,-,X,5
4,4,2,1694.01,5.480027,3.77013,5058.0,195.28817,953.419593,11.446,11.92651541791309,116.04850176639215,323.44734153437315,0.3587863830195048,2.0,,1694.01,396740648,T001694,VPC,passed,,,,,81,-,-,-,-,-,-,-,-,-,X,-,-,-,1
4,4,2,1272.01,4.289363,3.3159970000000003,4972.7,217.521583,979.479471,11.758,8.322015336576463,78.39173117043164,885.4697114401974,0.08853123958687324,,,1272.01,417948359,T001272,PC,passed,,yes,no,,90,-,-,-,-,-,-,-,-,-,X,-,-,-,1
4,4,2,1472.01,4.3075980000000005,6.364103,5103.0,110.004112,825.984655,11.302,6.5903840117276085,71.84524527554501,927.7037066180848,0.07744417184389035,,,1472.01,306955329,T001472,VPC,passed,,,,,92,-,-,-,-,-,-,-,-,-,X,-,-,-,1
4,4,3,1288.01,4.72907,2.700062,6180.0,691.796103,1308.019677,10.445,8.300525756608854,146.7794036522191,265.5947773289405,0.5526441638964611,3.0,3.0,1288.01,365733349,T001288,VPC,passed,failed,yes,,,45,-,-,X,-,-,-,X,-,-,X,-,-,X,4
4,4,3,1722.01,4.431151,9.606666,6137.0,175.792796,928.688394,10.025,4.8840087775977565,74.88226049103216,521.0481548011193,0.14371466399226426,,,1722.01,85242435,T001722,PC,passed,,,,,87,-,-,-,-,-,-,X,-,-,X,-,-,X,3
4,5,2,1713.01,4.65369,0.5572010000000001,5097.6,3415.825831,1949.816221,11.436,16.906352233414328,156.07759829536954,159.48906347508876,0.978610036917973,2.0,1.0,1713.01,15863518,T001713,PC,passed,,,,,37,-,-,X,-,-,-,-,-,-,X,-,-,-,2
5,3,3,1173.01,9.077533,7.06456,5429.6,53.07525,688.403013,11.038,21.60676220853221,182.50183273805425,67.67859732080153,2.696595969224688,1.0,3.0,1173.01,232967440,T001173,VPC+,passed,,yes,no,,58,-,-,-,-,-,-,-,-,-,X,-,-,-,1
5,3,3,1775.01,8.074810000000001,10.240374,5251.0,60.479059,711.247913,11.648,15.864991261837197,122.32312157107977,220.16640920816982,0.5555939346561349,3.0,,1775.01,9348006,T001775,PC,do observe,,,,,79,-,-,-,-,-,-,-,-,-,X,-,-,-,1
5,3,3,421.01,6.445067,16.068919,5718.0,74.824872,750.120865,9.931,8.544845976043407,117.36589211092756,156.10695632947886,0.7518299944508268,,,421.01,94986319,T000421,VPC,passed,passed,yes,yes,,76,-,-,-,-,X,-,X,X,-,X,-,-,X,5
5,4,2,1264.01,7.943273,2.74425,5040.0,418.525974,1153.587001,11.470999999999998,25.01962098389289,184.98204742750139,75.20890767288796,2.459576307530731,,,1264.01,416195870,T001264,VPC-,passed,passed,,,,72,-,-,-,-,-,-,-,-,-,X,-,-,-,1
5,4,3,1194.01,8.860766,2.310602,5339.9,640.67934,1283.15739,11.302,29.94829159311329,214.43884402114517,44.9248491844281,4.773279107533969,,,1194.01,147950620,T001194,VPC+,passed,passed,yes,yes,,71,-,-,-,-,-,-,-,-,-,X,-,-,-,1
5,4,3,1248.01,7.2051110000000005,4.360083,5227.0,202.078244,961.61148,11.806,17.46553631543733,121.33171864374472,210.1197530273544,0.5774408017124844,,,1248.01,232612416,T001248,VPC,passed,,,,,77,-,-,-,-,-,-,-,-,-,X,-,-,-,1
