radius_bin,insol_bin,st_Teff_bin,Full TOI ID,priority
1,2,1,1680.01,2.0
1,2,1,455.01,0.0
1,2,1,256.02,0.0
1,3,1,1746.01,2.0
1,3,1,732.01,0.0
1,3,1,736.02,0.0
1,3,1,1640.01,0.0
1,3,1,1468.02,0.0
1,3,1,521.01,0.0
1,3,1,1693.01,0.0
1,3,1,1730.02,0.0
1,4,1,1442.01,3.0
1,4,1,1685.01,2.0
1,4,1,1238.02,1.0
1,5,2,1486.01,2.0
1,5,3,561.02,1.0
2,2,1,736.01,3.0
2,2,1,1276.01,1.0
2,2,1,732.02,0.0
2,2,1,1468.01,0.0
2,2,1,1266.01,0.0
2,2,1,1452.01,0.0
2,2,1,782.01,0.0
2,2,1,1743.01,0.0
2,2,1,1633.01,0.0
2,2,1,1754.01,0.0
2,3,1,654.01,2.0
2,3,1,1730.01,1.0
2,3,1,727.01,0.0
2,3,1,1695.01,0.0
2,3,1,393.01,0.0
2,3,1,1470.01,0.0
2,3,1,1467.01,0.0
2,3,1,663.01,0.0
2,3,1,663.02,0.0
2,3,1,1238.01,0.0
2,3,1,557.01,0.0
2,3,1,1756.01,0.0
2,3,1,1745.01,0.0
2,3,1,1763.01,0.0
2,3,2,1430.01,2.0
2,3,2,1235.01,0.0
2,3,2,1184.01,0.0
2,3,2,1453.01,0.0
2,3,2,1301.01,0.0
2,3,2,1174.01,0.0
2,3,2,1244.01,0.0
2,3,2,1749.01,0.0
2,3,2,1749.02,0.0
2,3,3,1459.01,3.0
2,3,3,1269.02,0.0
2,4,1,1634.01,1.0
2,4,1,1724.01,2.0
2,4,1,1289.01,3.0
2,4,1,1285.01,0.0
2,4,1,1752.01,0.0
2,4,2,544.01,3.0
2,4,2,1416.01,2.0
2,4,2,1683.01,0.0
2,4,2,1260.01,0.0
2,4,2,238.01,0.0
2,4,2,1466.01,0.0
2,4,2,1346.02,0.0
2,4,2,1757.01,0.0
2,4,2,1748.01,0.0
2,4,2,494.01,0.0
2,4,2,556.01,0.0
2,4,2,1348.01,0.0
2,4,2,1346.01,0.0
2,4,2,1446.01,0.0
2,4,3,1473.01,3.0
2,4,3,1449.02,0.0
2,4,3,1727.01,0.0
2,4,3,1669.01,0.0
2,4,3,266.01,0.0
2,4,3,1290.01,0.0
2,5,2,1325.01,2.0
2,5,2,424.01,3.0
2,5,2,1242.01,0.0
2,5,2,1436.01,0.0
2,5,3,440.01,1.0
2,5,3,638.01,3.0
2,5,3,426.01,0.0
2,5,3,1426.01,0.0
2,5,3,1347.01,0.0
2,5,3,420.01,0.0
2,5,3,1610.01,0.0
3,2,1,1760.01,1.0
3,2,1,1474.01,3.0
3,2,1,1448.01,0.0
3,2,1,233.01,0.0
3,2,2,1759.01,3.0
3,2,2,1697.01,0.0
3,3,1,278.01,2.0
3,3,1,543.01,3.0
3,3,1,620.01,0.0
3,3,1,1696.01,0.0
3,3,1,1243.01,0.0
3,3,1,1245.01,0.0
3,3,1,1732.01,0.0
3,3,2,560.01,1.0
3,3,2,442.01,3.0
3,3,2,1201.01,2.0
3,3,2,461.01,0.0
3,3,2,1255.01,0.0
3,3,2,1180.01,0.0
3,3,2,493.01,0.0
3,3,2,1648.01,0.0
3,3,2,1280.01,0.0
3,3,2,1758.01,0.0
3,3,2,1260.02,0.0
3,3,2,484.01,0.0
3,3,2,1738.01,0.0
3,3,2,1246.01,0.0
3,3,2,1750.01,0.0
3,3,3,1339.01,2.0
3,3,3,469.01,3.0
3,3,3,509.01,1.0
3,3,3,561.01,0.0
3,3,3,1339.02,0.0
3,3,3,1247.01,0.0
3,3,3,1691.01,0.0
3,3,3,1723.01,0.0
3,3,3,561.03,0.0
3,3,3,1422.01,0.0
3,3,3,1279.01,0.0
3,3,3,1277.02,0.0
3,3,3,254.01,0.0
3,3,3,1464.01,0.0
3,3,3,1762.01,0.0
3,3,3,1249.01,0.0
3,3,3,1349.01,0.0
3,3,3,518.01,0.0
3,4,1,1639.01,2.0
3,4,1,1284.01,1.0
3,4,2,1319.01,1.0
3,4,2,1410.01,2.0
3,4,2,969.01,0.0
3,4,2,1533.01,0.0
3,4,2,1391.01,0.0
3,4,2,1246.02,0.0
3,4,2,1246.03,0.0
3,4,3,554.01,2.0
3,4,3,1617.01,3.0
3,4,3,1136.02,0.0
3,4,3,1736.01,0.0
3,4,3,1413.01,0.0
3,4,3,1548.01,0.0
3,4,3,669.01,0.0
3,4,3,1293.01,0.0
3,4,3,1655.01,0.0
3,4,3,1631.01,0.0
3,4,3,1287.01,0.0
3,4,3,1716.01,0.0
3,4,3,506.01,0.0
3,4,3,1537.01,0.0
3,4,3,1269.01,0.0
3,4,3,1699.01,0.0
3,4,3,462.01,0.0
3,4,3,1445.01,0.0
3,4,3,1686.01,0.0
3,4,3,1624.01,0.0
3,4,3,1753.01,0.0
3,4,3,1404.01,0.0
3,4,3,1281.01,0.0
3,5,1,716.01,1.0
3,5,2,1702.01,1.0
3,5,3,1598.01,1.0
3,5,3,1492.01,2.0
3,5,3,1681.01,3.0
3,5,3,1700.01,0.0
3,5,3,1660.01,0.0
3,5,3,1504.01,0.0
3,5,3,1668.01,0.0
3,5,3,1547.01,0.0
3,5,3,1546.01,0.0
3,5,3,897.01,0.0
3,5,3,1368.01,0.0
3,5,3,1395.01,0.0
3,5,3,1620.01,0.0
3,5,3,971.01,0.0
4,2,1,526.01,1.0
4,3,1,1256.01,3.0
4,3,1,516.01,0.0
4,3,1,538.01,0.0
4,3,1,1234.01,0.0
4,3,2,880.01,1.0
4,3,2,1728.01,2.0
4,3,2,532.01,0.0
4,3,2,1424.01,0.0
4,3,3,1449.01,3.0
4,3,3,1710.01,2.0
4,3,3,1136.01,1.0
4,3,3,1471.01,0.0
4,3,3,1136.03,0.0
4,3,3,1239.01,0.0
4,3,3,1554.01,0.0
4,3,3,1744.01,0.0
4,3,3,1275.01,0.0
4,3,3,1261.01,0.0
4,3,3,1439.01,0.0
4,4,2,1179.01,1.0
4,4,2,1496.01,2.0
4,4,2,465.01,3.0
4,4,2,1701.01,0.0
4,4,2,1694.01,0.0
4,4,2,1272.01,0.0
4,4,2,1472.01,0.0
4,4,3,422.01,3.0
4,4,3,1718.01,2.0
4,4,3,428.01,0.0
4,4,3,1288.01,0.0
4,4,3,1483.01,0.0
4,4,3,1538.01,0.0
4,4,3,1415.01,0.0
4,4,3,313.01,0.0
4,4,3,320.01,0.0
4,4,3,1722.01,0.0
4,4,3,1687.01,0.0
4,4,3,1376.01,0.0
4,4,3,1616.01,0.0
4,4,3,1340.01,0.0
4,4,3,1592.01,0.0
4,4,3,855.01,0.0
4,4,3,1613.01,0.0
4,4,3,1526.01,0.0
4,4,3,1258.01,0.0
4,4,3,1602.01,0.0
4,4,3,1520.01,0.0
4,4,3,1672.01,0.0
4,4,3,938.01,0.0
4,4,3,1237.01,0.0
4,5,2,1713.01,2.0
4,5,2,980.01,1.0
4,5,3,680.01,1.0
4,5,3,1577.01,2.0
4,5,3,564.01,3.0
4,5,3,1657.01,0.0
4,5,3,1677.01,0.0
4,5,3,1597.01,0.0
4,5,3,1399.01,0.0
4,5,3,1367.01,0.0
4,5,3,1562.01,0.0
4,5,3,1304.01,0.0
4,5,3,1625.01,0.0
4,5,3,1394.01,0.0
4,5,3,1571.01,0.0
4,5,3,1513.01,0.0
4,5,3,1534.01,0.0
4,5,3,1505.01,0.0
4,5,3,1291.01,0.0
5,2,1,1632.01,3.0
5,2,1,1646.01,2.0
5,2,1,1278.01,1.0
5,2,1,482.01,0.0
5,3,1,507.01,1.0
5,3,1,529.01,3.0
5,3,1,519.01,2.0
5,3,1,737.01,0.0
5,3,1,530.01,0.0
5,3,1,633.01,0.0
5,3,2,1268.01,0.0
5,3,2,1412.01,0.0
5,3,2,294.01,0.0
5,3,2,1274.01,0.0
5,3,3,1173.01,2.0
5,3,3,1605.01,1.0
5,3,3,883.01,0.0
5,3,3,421.01,0.0
5,3,3,1670.01,0.0
5,3,3,1733.01,0.0
5,4,1,460.01,2.0
5,4,1,1638.01,1.0
5,4,2,1423.01,0.0
5,4,2,1264.01,0.0
5,4,3,1555.01,2.0
5,4,3,1703.01,3.0
5,4,3,1456.01,1.0
5,4,3,1135.01,0.0
5,4,3,1273.01,0.0
5,4,3,1194.01,0.0
5,4,3,1251.01,0.0
5,4,3,1711.01,0.0
5,4,3,1248.01,0.0
5,4,3,1478.01,0.0
5,4,3,239.01,0.0
5,4,3,963.01,0.0
5,4,3,1708.01,0.0
5,4,3,1491.01,0.0
5,4,3,1298.01,0.0
5,4,3,660.01,0.0
5,4,3,1294.01,0.0
5,4,3,892.01,0.0
5,4,3,343.01,0.0
5,4,3,1328.01,0.0
5,4,3,941.01,0.0
5,4,3,844.01,0.0
5,4,3,852.01,0.0
5,4,3,1267.01,0.0
5,5,2,1396.01,2.0
5,5,2,950.01,1.0
5,5,3,390.01,1.0
5,5,3,485.01,2.0
5,5,3,958.01,3.0
5,5,3,1254.01,0.0
5,5,3,387.01,0.0
5,5,3,1383.01,0.0
5,5,3,1600.01,0.0
5,5,3,329.01,0.0
5,5,3,1484.01,0.0
5,5,3,1316.01,0.0
5,5,3,648.01,0.0
5,5,3,979.01,0.0
5,5,3,1241.01,0.0
5,5,3,1510.01,0.0
5,5,3,1539.01,0.0
